Datum;ParkhausName;Prediction;SHAP_Education;SHAP_Services and specialty retail;SHAP_Finance and insurance;SHAP_Leisure time;SHAP_Food services;SHAP_Health;SHAP_Grocery;SHAP_Religion;SHAP_Shopping;SHAP_Others;SHAP_Public sector;SHAP_Time;SHAP_Month;SHAP_Sum
01.01.2025 00:00;Augustusplatz;6,688;-3,287;0,402;0,11;0,336;-3,261;-0,93;-5,594;-0,958;-1,75;-1,98;-0,583;-0,549;-1,118;-12,474
01.01.2025 01:00;Augustusplatz;6,688;-3,296;0,375;-0,055;0,32;-3,345;-0,792;-5,63;-0,658;-1,737;-1,851;-0,681;-0,657;-1,157;-12,476
01.01.2025 02:00;Augustusplatz;6,549;-3,313;0,355;-0,11;0,258;-3,461;-0,808;-5,754;-0,757;-1,735;-1,703;-0,36;-0,771;-1,141;-12,751
01.01.2025 03:00;Augustusplatz;6,633;-3,329;0,43;-0,29;-0,021;-3,361;-0,607;-5,662;-0,454;-1,735;-1,975;-0,288;-0,755;-1,171;-12,585
01.01.2025 04:00;Augustusplatz;5,777;-3,335;0,37;-0,28;0,09;-3,623;-0,76;-5,768;-0,583;-1,735;-1,808;-0,31;-1,184;-1,149;-14,298
01.01.2025 05:00;Augustusplatz;5,777;-3,35;0,332;-0,301;0,134;-3,111;-0,662;-5,812;-0,625;-1,735;-1,997;-0,388;-1,128;-1,43;-14,296
01.01.2025 06:00;Augustusplatz;7,252;-3,327;0,408;-0,476;0,248;-2,915;-0,633;-5,831;-0,421;-1,739;-1,897;-0,143;-0,47;-1,403;-11,347
01.01.2025 07:00;Augustusplatz;11,992;-3,4;0,6;-0,091;0,158;-2,348;0,111;-5,454;1,063;-1,736;-0,594;0,203;-1,567;-0,804;-1,867
01.01.2025 08:00;Augustusplatz;9,349;-3,457;0,438;-0,106;-0,465;-2,626;0,163;-5,447;0,697;-1,731;-0,678;0,173;-1,533;-1,928;-7,151
01.01.2025 09:00;Augustusplatz;11,415;-3,929;0,071;-0,131;-0,318;-2,054;0,676;-5,381;1,444;-1,721;-0,552;0,361;-0,085;-2,817;-3,021
01.01.2025 10:00;Augustusplatz;12,19;-4,035;-0,651;-0,233;-0,105;-2,772;0,385;-5,755;1,007;-1,76;-0,197;1,02;0,875;-1,439;-1,47
01.01.2025 11:00;Augustusplatz;17,02;-2,475;-6,384;0,49;0,315;-1,239;0,81;-5,175;2,444;-1,801;2,386;1,279;0,983;-0,463;8,19
01.01.2025 12:00;Augustusplatz;16,386;-2,575;-6,248;0,785;0,326;-2,033;-0,068;-4,992;2,362;-1,806;2,508;1,183;1,276;-0,184;6,92
01.01.2025 13:00;Augustusplatz;17,371;-2,298;-5,989;0,651;0,509;-2,195;-0,126;-4,875;2,253;-1,829;3,046;1,325;1,466;-0,417;8,892
01.01.2025 14:00;Augustusplatz;17,371;-2,316;-5,941;0,633;0,494;-2,231;-0,086;-4,835;2,327;-1,83;3,056;1,367;1,347;-0,465;8,891
01.01.2025 15:00;Augustusplatz;18,349;-2,164;-5,361;0,701;0,088;-0,682;0,212;-4,968;1,926;-1,797;2,767;1,176;1,36;-0,76;10,847
01.01.2025 16:00;Augustusplatz;19,119;-1,841;-4,997;1,099;0,092;-0,406;-0,042;-4,94;1,948;-1,776;2,819;1,319;0,696;-0,704;12,386
01.01.2025 17:00;Augustusplatz;9,553;-3,181;0,704;-0,077;-0,618;-1,792;-1,353;-5,674;0,376;-1,746;-0,216;0,721;-2,167;-1,275;-6,745
01.01.2025 18:00;Augustusplatz;12,214;-3,063;1,154;0,324;-0,584;-1,897;-0,889;-5,479;0,483;-1,703;0,308;0,164;-1,814;-0,639;-1,421
01.01.2025 19:00;Augustusplatz;17,666;-3,078;1,41;0,307;0,134;-1,674;0,06;-4,504;1,824;-1,753;1,06;0,781;-0,996;-1,754;9,483
01.01.2025 20:00;Augustusplatz;13,586;-3,243;1,009;0,234;0,059;-1,683;-0,809;-4,817;-0,376;-1,737;0,026;0,301;-0,099;-1,129;1,322
01.01.2025 21:00;Augustusplatz;11,2;-3,186;0,715;0,224;-0,045;-2,248;-0,366;-5,299;0,165;-1,749;-1,248;-0,329;-0,145;-1,14;-3,451
01.01.2025 22:00;Augustusplatz;6,583;-3,225;0,446;0,205;0,344;-3,412;-0,985;-5,639;-0,4;-1,743;-2,523;-0,616;-0,603;-1,118;-12,686
01.01.2025 23:00;Augustusplatz;7,872;-3,247;0,33;0,225;0,508;-3,229;-0,763;-5,568;-0,338;-1,749;-2,02;-0,62;-0,595;-0,912;-10,106
02.01.2025 00:00;Augustusplatz;9,762;-3,161;0,481;0,712;-0,097;-3,698;-0,315;-5,431;-0,857;-1,735;-1,552;-0,363;-0,266;0,192;-6,328
02.01.2025 01:00;Augustusplatz;9,762;-3,168;0,404;0,383;-0,036;-3,78;-0,434;-5,512;-0,826;-1,721;-0,544;-0,399;-0,569;0,114;-6,326
02.01.2025 02:00;Augustusplatz;10,577;-3,187;0,426;0,259;0,087;-3,835;-0,391;-5,562;-0,498;-1,719;-0,521;0,015;-0,575;0,228;-4,696
02.01.2025 03:00;Augustusplatz;8,827;-3,212;0,332;0,234;0,134;-3,949;-0,679;-5,707;-0,424;-1,719;-0,737;-0,182;-1,166;0,052;-8,196
02.01.2025 04:00;Augustusplatz;6,055;-3,23;0,161;0,155;0,154;-4,385;-1,062;-5,926;-0,431;-1,719;-0,969;-0,368;-1,908;-0,267;-13,74
02.01.2025 05:00;Augustusplatz;6,859;-3,271;0,083;0,011;0,115;-3,781;-1,216;-6,039;-0,865;-1,72;0,678;-0,717;-1,963;-0,307;-12,133
02.01.2025 06:00;Augustusplatz;11,387;-3,499;0,383;-0,13;0,106;-2,961;-0,576;-5,738;-0,859;-1,722;1,753;-0,135;-0,328;-0,758;-3,077
02.01.2025 07:00;Augustusplatz;3,029;-3,184;0,495;-0,722;-0,473;-3,019;-2,562;-4,591;-1,074;-2,03;-1,287;-1,617;-2,3;-0,457;-19,792
02.01.2025 08:00;Augustusplatz;43,704;-5,121;9,568;-0,221;-0,299;-1,886;1,758;10,083;-0,188;5,385;-0,566;-0,304;-1,08;0,724;61,557
02.01.2025 09:00;Augustusplatz;16,732;-4,161;-4,923;-0,454;0,564;-2,411;-1,595;4,544;-2,474;2,165;-0,55;1,547;0,597;-1,968;7,613
02.01.2025 10:00;Augustusplatz;15,983;-8,131;1,404;-1,671;-1,189;-0,3;0,817;3,505;-3,315;0,626;0,002;-0,433;1,767;-2,95;6,115
02.01.2025 11:00;Augustusplatz;21,706;-7,516;2,107;-1,145;-0,773;-0,33;0,776;3,934;-3,335;0,813;1,419;-0,236;2,113;-1,971;17,562
02.01.2025 12:00;Augustusplatz;21,963;-7,439;2,156;-1,278;-1,085;-0,275;0,992;3,757;-3,756;0,881;1,354;-0,112;2,227;-1,311;18,074
02.01.2025 13:00;Augustusplatz;19,039;-7,251;0,782;-1,792;-1,145;-0,255;0,472;3,918;-3,242;1,501;0,357;-0,155;1,942;-1,942;12,229
02.01.2025 14:00;Augustusplatz;18,711;-7,197;-0,126;-1,569;-1,129;-0,677;0,686;4,269;-2,012;1,66;0,234;-0,333;1,486;-2,432;11,571
02.01.2025 15:00;Augustusplatz;10,162;-3,712;-6,364;-0,467;0,275;-3,376;-1,64;3,516;-2,611;-0,264;-0,627;0,913;0,238;-1,57;-5,527
02.01.2025 16:00;Augustusplatz;7,624;-3,599;-5,989;-0,477;0,144;-3,442;-2,033;3,057;-3,269;-0,223;-0,472;0,979;-1,144;-1,758;-10,602
02.01.2025 17:00;Augustusplatz;10,583;-4,095;-4,857;-0,412;0,31;-2,795;-2,119;3,884;-3,194;1,969;-1,49;1,441;-1,851;-2,057;-4,683
02.01.2025 18:00;Augustusplatz;12,373;-3,867;-5,235;-0,296;0,093;-3,081;-1,944;3,927;-3,026;2,649;-1,157;1,294;-1,297;-1,536;-1,103
02.01.2025 19:00;Augustusplatz;15,149;-3,426;-4,634;-0,456;0,725;-3,272;-1,539;4,238;-2,953;2,747;-0,954;0,359;-1,061;-0,476;4,447
02.01.2025 20:00;Augustusplatz;12,524;-3,614;-5,242;-0,352;0,338;-3,725;-1,759;3,724;-3,13;2,739;-1,078;0,259;-0,728;-0,758;-0,802
02.01.2025 21:00;Augustusplatz;11,199;-3,464;1,287;-0,295;-0,024;-2,706;0,362;-3,338;-1,218;-2,031;-1,748;-0,662;-0,367;-0,448;-3,453
02.01.2025 22:00;Augustusplatz;11,881;-3,04;1,487;0,14;-0,3;-3,291;-0,611;-4,323;-1,13;-2,027;0,543;-1,202;-0,259;0,043;-2,089
02.01.2025 23:00;Augustusplatz;10,372;-3,156;0,491;0,757;-0,33;-3,737;-0,195;-5,314;-0,866;-1,735;-1,186;-0,501;-0,135;0,428;-5,107
03.01.2025 00:00;Augustusplatz;9,762;-3,161;0,481;0,712;-0,097;-3,698;-0,315;-5,431;-0,857;-1,735;-1,552;-0,363;-0,266;0,192;-6,328
03.01.2025 01:00;Augustusplatz;9,762;-3,168;0,404;0,383;-0,036;-3,78;-0,434;-5,512;-0,826;-1,721;-0,544;-0,399;-0,569;0,114;-6,326
03.01.2025 02:00;Augustusplatz;10,577;-3,187;0,426;0,259;0,087;-3,835;-0,391;-5,562;-0,498;-1,719;-0,521;0,015;-0,575;0,228;-4,696
03.01.2025 03:00;Augustusplatz;8,827;-3,212;0,332;0,234;0,134;-3,949;-0,679;-5,707;-0,424;-1,719;-0,737;-0,182;-1,166;0,052;-8,196
