Datum;ParkhausName;Prediction;SHAP_Education;SHAP_Services and specialty retail;SHAP_Finance and insurance;SHAP_Leisure time;SHAP_Food services;SHAP_Health;SHAP_Grocery;SHAP_Religion;SHAP_Shopping;SHAP_Others;SHAP_Public sector;SHAP_Time;SHAP_Month;SHAP_Sum
01.01.2025 00:00;Bleiche;5,849;-3,041;-0,76;0,181;0,563;-4,653;-0,852;-3,37;-2,662;-2,302;-1,156;-0,896;0,212;-1,266;-14,153
01.01.2025 01:00;Bleiche;5,849;-3,05;-0,804;0;0,595;-4,629;-0,399;-3,403;-2,39;-2,288;-1,39;-0,892;-0,183;-1,169;-14,153
01.01.2025 02:00;Bleiche;5,849;-3,074;-0,824;-0,128;0,488;-4,556;-0,039;-3,522;-2,494;-2,287;-1,442;-0,668;-0,562;-0,894;-14,153
01.01.2025 03:00;Bleiche;4,241;-3,084;-0,858;-0,014;0,417;-4,663;-0,286;-3,605;-2,89;-2,286;-1,589;-0,806;-1,225;-0,72;-17,368
01.01.2025 04:00;Bleiche;4,241;-3,09;-0,873;-0,054;0,415;-4,599;-0,228;-3,626;-2,896;-2,286;-1,634;-0,766;-1,386;-0,588;-17,37
01.01.2025 05:00;Bleiche;11,708;-3,145;-0,528;0,379;0,748;-3,714;1,598;-3,169;-0,62;-2,258;-0,513;-0,188;-1,211;-1,522;-2,435
01.01.2025 06:00;Bleiche;13,47;-3,154;0,041;-0,42;0,082;-2,275;1,6;-3,637;-1,054;-2,347;-0,436;0,331;-1,421;0,309;1,089
01.01.2025 07:00;Bleiche;11,312;-3,346;0,878;1,392;0,554;2,378;1,066;-7,085;-2,297;-1,438;-2,836;-1,022;-2,777;-0,006;-3,227
01.01.2025 08:00;Bleiche;13,537;-2,889;0,182;0,895;2,211;1,6;0,981;-7,26;-1,35;-1,443;-1,795;-1,389;-1,801;-0,256;1,223
01.01.2025 09:00;Bleiche;26,671;-2,538;-0,863;2,451;-5,034;9,485;1,757;-6,548;2,868;-2,366;1,105;-1,005;0,818;0,692;27,493
01.01.2025 10:00;Bleiche;35,594;-2,69;-4,229;1,343;-1,926;10,129;2,843;-6,707;8,892;-2,383;-1,744;-0,945;1,419;5,741;45,337
01.01.2025 11:00;Bleiche;35,419;-2,667;-4,584;1,134;-1,921;9,027;2,574;-7,092;8,829;-2,39;0,043;-0,951;1,277;6,288;44,986
01.01.2025 12:00;Bleiche;35,596;-2,727;-4,375;1,133;-1,394;9,73;2,568;-6,81;7,199;-2,382;0,217;-0,929;1,53;5,985;45,341
01.01.2025 13:00;Bleiche;33,564;-2,541;-4,356;1,104;-1,277;9,143;2,397;-6,91;6,884;-2,383;-0,414;-1,007;0,986;6,085;41,275
01.01.2025 14:00;Bleiche;33,564;-2,492;-4,591;1,161;-2,03;9,358;2,428;-6,621;7,002;-2,382;-0,424;-0,785;1,059;6,031;41,278
