Datum;ParkhausName;Prediction;SHAP_Education;SHAP_Services and specialty retail;SHAP_Finance and insurance;SHAP_Leisure time;SHAP_Food services;SHAP_Health;SHAP_Grocery;SHAP_Religion;SHAP_Shopping;SHAP_Others;SHAP_Public sector;SHAP_Time;SHAP_Month;SHAP_Sum
01.01.2025 00:00;Cinestar;12,242;-3,261;-0,297;0,075;0,722;-2,725;1,087;-2,968;-1,123;-2,321;-1,444;-0,595;-0,095;-0,664;-1,367
01.01.2025 01:00;Cinestar;9,695;-3,27;-0,326;-0,516;0,412;-2,887;0,948;-3,18;-1,444;-2,308;-1,148;-0,905;-0,843;-0,688;-6,46
01.01.2025 02:00;Cinestar;11,852;-3,278;-0,338;-0,158;0,612;-2,907;1,046;-3,144;-1,215;-2,305;-0,676;-0,458;-0,613;-0,564;-2,146
01.01.2025 03:00;Cinestar;8,208;-3,306;-0,47;-0,153;0,271;-3,224;0,423;-3,353;-1,502;-2,305;-1,104;-0,666;-1,558;-0,697;-9,436
01.01.2025 04:00;Cinestar;8,208;-3,35;-0,517;-0,139;0,199;-3,61;0,34;-3,441;-1,542;-2,285;-0,944;-0,714;-1,341;-0,298;-9,434
01.01.2025 05:00;Cinestar;-2,246;-3,383;-1,193;-0,213;-0,172;-3,799;-0,819;-4,37;-3,573;-2,315;-2,747;-1,91;-1,838;-1,766;-30,344
01.01.2025 06:00;Cinestar;-0,539;-3,377;-1,11;-0,385;-0,408;-3,424;-0,311;-4,239;-4,094;-2,318;-1,786;-1,545;-1,677;-1,716;-26,929
01.01.2025 07:00;Cinestar;-0,101;-1,625;-7,159;0,224;0,49;-4,37;-0,525;-4,539;-4,001;-2,387;1,321;-1,079;-1,329;-0,97;-26,05
01.01.2025 08:00;Cinestar;5,064;-2,785;0,206;-0,009;-0,113;-2,467;0,184;-7,772;-3,831;-1,518;-0,829;-0,799;-0,962;-0,09;-15,721
01.01.2025 09:00;Cinestar;4,613;-3,43;0,382;-0,072;0,117;-4,959;0,795;-7,552;-2,679;-1,468;-0,416;-1,157;-0,423;-0,376;-16,625
01.01.2025 10:00;Cinestar;8,252;-3,904;-0,536;1,539;-0,171;2,146;0,559;-7,286;-2,876;-1,543;-3,434;-1,312;-0,456;-0,323;-9,345
01.01.2025 11:00;Cinestar;29,484;-3,368;1,774;0,732;-0,697;12,577;1,892;-5,648;-1,888;-2,505;-0,241;-1,395;0,555;1,845;33,117
01.01.2025 12:00;Cinestar;14,311;-2,299;-3,953;0,933;1,608;9,462;1,442;-6,588;-1,588;-2,422;-4,276;-1,441;-3,52;1,101;2,77
01.01.2025 13:00;Cinestar;23,805;-2,055;-3,435;2,362;3,749;10,918;1,384;-6,063;-1,024;-2,421;-1,814;-1,464;-3,237;1,056;21,761
01.01.2025 14:00;Cinestar;29,679;-2,086;-2,79;2,503;4,904;12,408;1,23;-5,257;-1,306;-2,416;-1,007;-1,527;-1,316;0,489;33,508
01.01.2025 15:00;Cinestar;53,704;-1,838;-1,107;4,667;11,941;16,165;1,159;-2,524;-0,479;-2,395;0,255;-1,377;2,656;0,731;81,558
01.01.2025 16:00;Cinestar;50,75;-1,937;-0,949;4,75;10,596;15,253;0,581;-2,514;-0,529;-2,352;0,211;-0,999;2,399;0,391;75,651
01.01.2025 17:00;Cinestar;53,362;-1,643;-0,091;4,225;11,165;14,853;0,848;-2,856;-0,399;-2,362;2,279;-1,317;2,191;0,617;80,872
01.01.2025 18:00;Cinestar;65,348;-1,309;1,054;4,12;11,456;18,64;0,832;-1,471;1,612;-2,424;3,148;-1,375;3,025;2,189;104,845
