Datum;ParkhausName;Prediction;SHAP_Education;SHAP_Services and specialty retail;SHAP_Finance and insurance;SHAP_Leisure time;SHAP_Food services;SHAP_Health;SHAP_Grocery;SHAP_Religion;SHAP_Shopping;SHAP_Others;SHAP_Public sector;SHAP_Time;SHAP_Month;SHAP_Sum
01.01.2025 00:00;City Port;18,333;-3,042;1,159;0,274;1,47;-1,927;0,412;-4,446;0,166;-1,75;-0,031;0,708;-0,515;0,004;10,815
01.01.2025 01:00;City Port;19,96;-3,051;1,223;-0,006;2,057;-2,025;1,23;-4,421;0,718;-1,737;-0,041;0,801;-0,636;-0,002;14,07
01.01.2025 02:00;City Port;18,856;-3,063;1,204;-0,252;1,974;-2,316;1,491;-4,613;0,777;-1,735;-0,221;0,974;-1,15;-0,065;11,861
01.01.2025 03:00;City Port;20,714;-3,08;1,133;0,346;1,823;-2,071;1,478;-4,568;1,273;-1,735;0,108;0,978;-0,857;0,034;15,576
01.01.2025 04:00;City Port;20,602;-3,088;1,182;0,069;1,649;-2,11;1,647;-4,599;1,183;-1,735;0,175;0,986;-0,544;-0,062;15,355
01.01.2025 05:00;City Port;16,82;-3,203;0,957;-0,257;0,69;-2,088;1,091;-4,914;1,802;-1,729;-0,651;0,665;-0,65;-0,747;7,786
01.01.2025 06:00;City Port;17,988;-1,826;-4,757;0,787;1,061;-2,681;0,945;-5,429;1,73;-1,796;2,832;1,02;-0,495;0,745;10,124
01.01.2025 07:00;City Port;19,475;-2,977;1,844;-0,439;0,165;-0,266;1,489;-5,696;0,772;-1,357;0,019;1,574;-1,408;-0,096;13,099
01.01.2025 08:00;City Port;22,734;-2,88;1,798;-0,506;-0,089;0,608;2,441;-5,436;0,684;-1,322;-0,116;2,067;-0,384;0,019;19,618
01.01.2025 09:00;City Port;30,898;-3,049;1,508;0,668;1,167;1,395;3,378;-5,908;1,055;-1,336;2,301;2,334;0,767;0,767;35,945
01.01.2025 10:00;City Port;28,462;-3,009;1,374;-0,547;0,095;-1,337;3,994;-5,594;-0,006;-1,529;4,726;2,601;1,238;0,603;31,071
01.01.2025 11:00;City Port;24,643;-3,53;1,569;0,645;1,999;2,674;1,147;-5,153;1,027;-1,869;0,626;-1,066;0,268;0,455;23,435
