Datum;ParkhausName;Prediction;SHAP_Education;SHAP_Services and specialty retail;SHAP_Finance and insurance;SHAP_Leisure time;SHAP_Food services;SHAP_Health;SHAP_Grocery;SHAP_Religion;SHAP_Shopping;SHAP_Others;SHAP_Public sector;SHAP_Time;SHAP_Month;SHAP_Sum
01.01.2025 00:00;Deutschhausplatz;3,639;-3,19;-0,915;0,405;0,322;-3,297;-0,944;-3,663;-3,444;-2,352;-2,66;-1,512;0,404;-1,365;-18,572
01.01.2025 01:00;Deutschhausplatz;3,639;-3,197;-0,962;0,162;0,329;-3,372;-0,478;-3,71;-3,193;-2,339;-2,664;-1,518;-0,067;-1,203;-18,573
01.01.2025 02:00;Deutschhausplatz;3,976;-3,205;-0,984;0,072;0,227;-3,431;-0,095;-3,838;-3,192;-2,336;-2,605;-1,282;-0,363;-0,841;-17,897
01.01.2025 03:00;Deutschhausplatz;0,174;-3,222;-1,118;-0,099;-0,219;-3,663;-0,543;-4,106;-3,276;-2,336;-2,931;-1,587;-1,451;-1,126;-25,503
01.01.2025 04:00;Deutschhausplatz;0,174;-3,248;-1,133;-0,153;-0,291;-4,081;-0,548;-4,16;-3,341;-2,316;-2,367;-1,619;-1,543;-0,876;-25,502
01.01.2025 05:00;Deutschhausplatz;7,969;-3,191;-0,607;0,024;0,298;-3,712;1,267;-3,48;-1,999;-2,314;-0,821;-0,693;-1,613;-1,041;-9,913
01.01.2025 06:00;Deutschhausplatz;11,111;-1,805;-6,451;0,297;1,581;-2,6;1,784;-3,853;-1,809;-2,392;1,851;0,061;-0,971;-0,432;-3,628
01.01.2025 07:00;Deutschhausplatz;5,74;-3,173;0,493;0,249;0,084;-3,344;0,588;-7,776;-3,557;-1,644;-0,514;-0,491;-0,815;-0,213;-14,373
01.01.2025 08:00;Deutschhausplatz;10,847;-3,354;0,619;-0,914;-0,576;-1,489;3,6;-6,969;-1,916;-1,454;-0,258;0,436;-1,827;-0,902;-4,157
01.01.2025 09:00;Deutschhausplatz;0,339;-3,204;-2,198;0,324;-0,612;-0,479;1,561;-8,048;-2,939;-1,423;-4,247;-1,115;-0,481;-2,652;-25,174
01.01.2025 10:00;Deutschhausplatz;16,344;-3,371;-1,709;-0,34;1,489;2,336;1,792;-6,791;2,057;-1,465;-0,814;-1,41;0,826;-2,105;6,839
01.01.2025 11:00;Deutschhausplatz;0,948;-2,753;-2,874;0,928;-7,98;4,758;1,377;-8,254;-1,042;-2,368;-3,341;-1,479;0,479;-2,355;-23,956
01.01.2025 12:00;Deutschhausplatz;25,803;-2,671;-1,464;1,894;-0,577;9,149;1,073;-6,796;4,256;-2,4;-2,292;-1,28;-0,213;1,273;25,755
01.01.2025 13:00;Deutschhausplatz;26,823;-2,418;-1,305;1,953;-0,773;9,173;1,289;-6,788;4,305;-2,394;-2,218;-1,325;-0,459;1,932;27,795
01.01.2025 14:00;Deutschhausplatz;28,719;-2,481;-0,898;2,052;-1,219;9,064;1,455;-6,871;4,24;-2,4;-1,638;-1,298;0,442;2,419;31,586
01.01.2025 15:00;Deutschhausplatz;21,962;-2,203;-0,913;0,728;-1,772;8,819;1,07;-6,773;4,345;-2,289;-3,205;-1,215;-1,682;1,201;18,073
01.01.2025 16:00;Deutschhausplatz;25,543;-1,746;-0,494;2,1;-0,351;8,772;0,711;-6,792;4,381;-2,262;-3,571;-1,133;-2,535;2,613;25,236
01.01.2025 17:00;Deutschhausplatz;28,95;-1,791;2,408;1,634;-0,672;9,69;0,726;-6,811;4,608;-2,269;-2,766;-0,557;-3,615;2,514;32,049
01.01.2025 18:00;Deutschhausplatz;26,031;-2,041;2,707;1,883;0,702;8,109;0,57;-6,659;2,132;-2,389;-3,224;-0,871;-1,801;1,062;26,211
