Datum;ParkhausName;Prediction;SHAP_Education;SHAP_Services and specialty retail;SHAP_Finance and insurance;SHAP_Leisure time;SHAP_Food services;SHAP_Health;SHAP_Grocery;SHAP_Religion;SHAP_Shopping;SHAP_Others;SHAP_Public sector;SHAP_Time;SHAP_Month;SHAP_Sum
01.01.2025 00:00;Loehrstrasse;1,041;-3,095;-0,929;0,581;0,223;-5,595;-1,947;-3,814;-3,403;-2,349;-1,753;-1,61;-0,115;-1,005;-23,77
01.01.2025 01:00;Loehrstrasse;1,041;-3,103;-0,974;0,355;0,233;-5,567;-1,44;-3,847;-3,111;-2,335;-1,903;-1,605;-0,493;-1,019;-23,768
01.01.2025 02:00;Loehrstrasse;1,041;-3,127;-0,99;0,252;0,151;-5,438;-1,128;-3,962;-3,193;-2,333;-2,056;-1,379;-0,834;-0,773;-23,769
01.01.2025 03:00;Loehrstrasse;-0,437;-3,146;-0,984;0,135;-0,284;-5,367;-1,219;-3,995;-3,418;-2,332;-2,293;-1,448;-1,154;-0,784;-26,726
01.01.2025 04:00;Loehrstrasse;-0,437;-3,172;-0,979;0,12;-0,252;-5,225;-0,917;-3,998;-3,333;-2,312;-2,315;-1,405;-1,686;-0,815;-26,726
01.01.2025 05:00;Loehrstrasse;7,969;-3,31;-0,579;0,129;-0,277;-3,878;1,252;-3,201;-1,275;-2,288;-1,163;-0,558;-1,424;-1,309;-9,912
01.01.2025 06:00;Loehrstrasse;12,811;-1,921;-6,492;0,452;0,344;-1,594;2,338;-3,589;-1,59;-2,349;2,15;0,08;-0,827;-0,043;-0,23
01.01.2025 07:00;Loehrstrasse;12,795;-3,211;0,491;0,201;0,819;-2,562;2,194;-7,06;-1,807;-1,536;1,073;0,106;-1,347;-0,416;-0,26
01.01.2025 08:00;Loehrstrasse;8,259;-3,614;-0,017;-0,158;1,348;0,254;1,71;-6,639;-0,799;-1,446;-4,373;-0,801;-2,106;-0,95;-9,332
01.01.2025 09:00;Loehrstrasse;12,877;-2,913;-5,963;1,536;1,234;-0,833;1,982;-7,13;5,197;-1,41;-1,208;-1,45;-1,039;-0,977;-0,097
01.01.2025 10:00;Loehrstrasse;6,537;-2,879;-5,513;-0,142;-7,472;6,376;1,969;-7,198;5,259;-2,394;-2,981;-1,271;0,005;-3,072;-12,776
01.01.2025 11:00;Loehrstrasse;23,062;-2,525;-4,45;-0,406;-1,448;9,6;1,316;-5,779;8,605;-2,427;-4,238;-0,927;0,087;-0,195;20,275
01.01.2025 12:00;Loehrstrasse;33,17;-2,704;-4,852;0,885;-0,357;9,951;1,361;-5,583;9,96;-2,4;0,522;-1,553;-0,306;2,395;40,489
01.01.2025 13:00;Loehrstrasse;34,288;-2,475;-4,685;1,099;-0,054;10,702;1,677;-5,585;9,845;-2,387;0,467;-1,565;-0,021;1,42;42,726
01.01.2025 14:00;Loehrstrasse;26,585;-2,453;-5,139;2,226;-2,134;9,319;1,086;-6,146;7,671;-2,387;-1,197;-1,543;0,382;1,05;27,32
01.01.2025 15:00;Loehrstrasse;26,571;-1,95;-5,198;0,482;-1,611;11,011;1,647;-6,188;8,943;-2,343;-2,449;-0,849;-0,494;-0,282;27,29
01.01.2025 16:00;Loehrstrasse;24,485;-1,894;-5,088;0,785;-1,924;10,433;1,192;-6,224;8,079;-2,339;-2,426;-0,78;-1,067;-0,113;23,119
01.01.2025 17:00;Loehrstrasse;28,22;-1,752;-3,339;0,344;-2,371;10,252;2,104;-6,299;9,009;-2,339;-0,876;-1,348;-1,432;0,417;30,59
01.01.2025 18:00;Loehrstrasse;26,142;-1,582;-3,545;2,316;-0,948;9,063;1,059;-6,347;7,852;-2,237;-2,525;-1,405;-2,016;0,604;26,431
01.01.2025 19:00;Loehrstrasse;30,747;-1,825;-2,417;2,066;-1,723;10,112;0,56;-5,39;9,338;-2,439;-2,455;-0,852;-2,803;2,726;35,645
