;0,1 Uhr;2,3 Uhr;4,5 Uhr;6,7 Uhr;8,9 Uhr;10,11 Uhr;12,13 Uhr;14,15 Uhr;16,17 Uhr;18,19 Uhr;20,21 Uhr;22,23 Uhr
Augustusplatz;2,92;2,79;2,79;3,08;5,65;7,82;6,78;6,18;4,8;3,64;3,15;3,03
Bleiche;3,29;2,88;2,84;3,12;6,68;8,75;8,94;8,96;7,24;6;5,67;4,84
Cinestar;12,23;4,98;3,18;3,38;6,26;7,07;7,56;9,04;9,83;12,3;14,64;12,57
City Port;6,78;6,72;6,59;7,09;9,31;9,94;9,82;8,89;7,51;6,66;6,55;6,63
Deutschhausplatz;1,78;1,26;1,24;2,97;8,22;9,86;9,37;8,59;6,36;3,84;3,9;3,75
Loehrstrasse;12,41;8,33;6,04;6,8;11,14;12,34;12,12;11,79;10,3;10,91;11,17;10,26
Rheinufergarage;5,83;3,95;3,82;4,55;8,07;9,78;10,09;10,03;9,88;10,62;11,15;9,34
Roemisches Theater;8,46;5,15;2,49;2,49;5,76;7,46;7,81;7,62;7,03;9,19;10,5;7,42
Schillerplatz;4,28;3,81;3,78;4,13;7,09;9,61;9,79;9,64;8,55;7,84;8,32;6,07
Taubertsberg;2,08;2,47;2,07;2,93;6,68;6,6;7,61;7,35;5,96;3,55;2,7;2,27
