Parkhaus;Zeit;RMSE;Wahrer Mittelwert
Augustusplatz;0,1 Uhr;2,92;12,84
Augustusplatz;2,3 Uhr;2,79;12,71
Augustusplatz;4,5 Uhr;2,79;13,07
Augustusplatz;6,7 Uhr;3,08;20,42
Augustusplatz;8,9 Uhr;5,65;46,12
Augustusplatz;10,11 Uhr;7,82;61,44
Augustusplatz;12,13 Uhr;6,78;58,28
Augustusplatz;14,15 Uhr;6,18;51,16
Augustusplatz;16,17 Uhr;4,80;35,71
Augustusplatz;18,19 Uhr;3,64;22,84
Augustusplatz;20,21 Uhr;3,15;16,69
Augustusplatz;22,23 Uhr;3,03;13,42
Bleiche;0,1 Uhr;3,29;9,10
Bleiche;2,3 Uhr;2,88;8,68
Bleiche;4,5 Uhr;2,84;8,63
Bleiche;6,7 Uhr;3,12;12,84
Bleiche;8,9 Uhr;6,68;37,47
Bleiche;10,11 Uhr;8,75;57,11
Bleiche;12,13 Uhr;8,94;58,35
Bleiche;14,15 Uhr;8,96;48,83
Bleiche;16,17 Uhr;7,24;34,92
Bleiche;18,19 Uhr;6,00;22,07
Bleiche;20,21 Uhr;5,67;16,60
Bleiche;22,23 Uhr;4,84;11,35
Cinestar;0,1 Uhr;12,23;15,98
Cinestar;2,3 Uhr;4,98;4,64
Cinestar;4,5 Uhr;3,18;3,06
Cinestar;6,7 Uhr;3,38;6,01
Cinestar;8,9 Uhr;6,26;15,73
Cinestar;10,11 Uhr;7,07;23,28
Cinestar;12,13 Uhr;7,56;30,05
Cinestar;14,15 Uhr;9,04;35,85
Cinestar;16,17 Uhr;9,83;35,98
Cinestar;18,19 Uhr;12,30;46,61
Cinestar;20,21 Uhr;14,64;61,73
Cinestar;22,23 Uhr;12,57;37,03
City Port;0,1 Uhr;6,78;19,81
City Port;2,3 Uhr;6,72;19,48
City Port;4,5 Uhr;6,59;20,15
City Port;6,7 Uhr;7,09;28,85
City Port;8,9 Uhr;9,31;46,86
City Port;10,11 Uhr;9,94;52,36
City Port;12,13 Uhr;9,82;52,20
City Port;14,15 Uhr;8,89;46,88
City Port;16,17 Uhr;7,51;36,26
City Port;18,19 Uhr;6,66;27,04
City Port;20,21 Uhr;6,55;23,40
City Port;22,23 Uhr;6,63;21,02
Deutschhausplatz;0,1 Uhr;1,78;3,87
Deutschhausplatz;2,3 Uhr;1,26;3,60
Deutschhausplatz;4,5 Uhr;1,24;3,60
Deutschhausplatz;6,7 Uhr;2,97;10,38
Deutschhausplatz;8,9 Uhr;8,22;30,80
Deutschhausplatz;10,11 Uhr;9,86;39,02
Deutschhausplatz;12,13 Uhr;9,37;38,29
Deutschhausplatz;14,15 Uhr;8,59;32,86
Deutschhausplatz;16,17 Uhr;6,36;20,27
Deutschhausplatz;18,19 Uhr;3,84;9,37
Deutschhausplatz;20,21 Uhr;3,90;6,26
Deutschhausplatz;22,23 Uhr;3,75;4,78
Loehrstrasse;0,1 Uhr;12,41;31,64
Loehrstrasse;2,3 Uhr;8,33;21,16
Loehrstrasse;4,5 Uhr;6,04;13,67
Loehrstrasse;6,7 Uhr;6,80;24,41
Loehrstrasse;8,9 Uhr;11,14;46,84
Loehrstrasse;10,11 Uhr;12,34;62,47
Loehrstrasse;12,13 Uhr;12,12;67,61
Loehrstrasse;14,15 Uhr;11,79;62,01
Loehrstrasse;16,17 Uhr;10,30;51,10
Loehrstrasse;18,19 Uhr;10,91;49,41
Loehrstrasse;20,21 Uhr;11,17;49,71
Loehrstrasse;22,23 Uhr;10,26;40,33
Rheinufergarage;0,1 Uhr;5,83;17,13
Rheinufergarage;2,3 Uhr;3,95;15,86
Rheinufergarage;4,5 Uhr;3,82;15,78
Rheinufergarage;6,7 Uhr;4,55;22,90
Rheinufergarage;8,9 Uhr;8,07;48,68
Rheinufergarage;10,11 Uhr;9,78;62,85
Rheinufergarage;12,13 Uhr;10,09;63,35
Rheinufergarage;14,15 Uhr;10,03;53,63
Rheinufergarage;16,17 Uhr;9,88;39,67
Rheinufergarage;18,19 Uhr;10,62;29,23
Rheinufergarage;20,21 Uhr;11,15;25,70
Rheinufergarage;22,23 Uhr;9,34;20,95
Roemisches Theater;0,1 Uhr;8,46;14,95
Roemisches Theater;2,3 Uhr;5,15;12,18
Roemisches Theater;4,5 Uhr;2,49;10,35
Roemisches Theater;6,7 Uhr;2,49;13,73
Roemisches Theater;8,9 Uhr;5,76;29,25
Roemisches Theater;10,11 Uhr;7,46;44,65
Roemisches Theater;12,13 Uhr;7,81;49,14
Roemisches Theater;14,15 Uhr;7,62;43,79
Roemisches Theater;16,17 Uhr;7,03;36,52
Roemisches Theater;18,19 Uhr;9,19;36,97
Roemisches Theater;20,21 Uhr;10,50;38,72
Roemisches Theater;22,23 Uhr;7,42;23,41
Schillerplatz;0,1 Uhr;4,28;16,03
Schillerplatz;2,3 Uhr;3,81;15,13
Schillerplatz;4,5 Uhr;3,78;15,05
Schillerplatz;6,7 Uhr;4,13;20,55
Schillerplatz;8,9 Uhr;7,09;41,21
Schillerplatz;10,11 Uhr;9,61;65,43
Schillerplatz;12,13 Uhr;9,79;65,95
Schillerplatz;14,15 Uhr;9,64;57,11
Schillerplatz;16,17 Uhr;8,55;45,72
Schillerplatz;18,19 Uhr;7,84;35,97
Schillerplatz;20,21 Uhr;8,32;33,08
Schillerplatz;22,23 Uhr;6,07;21,86
Taubertsberg;0,1 Uhr;2,08;5,38
Taubertsberg;2,3 Uhr;2,47;5,21
Taubertsberg;4,5 Uhr;2,07;5,22
Taubertsberg;6,7 Uhr;2,93;8,20
Taubertsberg;8,9 Uhr;6,68;25,22
Taubertsberg;10,11 Uhr;6,60;35,45
Taubertsberg;12,13 Uhr;7,61;33,10
Taubertsberg;14,15 Uhr;7,35;32,09
Taubertsberg;16,17 Uhr;5,96;26,04
Taubertsberg;18,19 Uhr;3,55;14,61
Taubertsberg;20,21 Uhr;2,70;9,03
Taubertsberg;22,23 Uhr;2,27;6,68
