Datum;ParkhausName;Prediction;SHAP_Education;SHAP_Services and specialty retail;SHAP_Finance and insurance;SHAP_Leisure time;SHAP_Food services;SHAP_Health;SHAP_Grocery;SHAP_Religion;SHAP_Shopping;SHAP_Others;SHAP_Public sector;SHAP_Time;SHAP_Month;SHAP_Sum
01.01.2025 00:00;Rheinufergarage;7,406;-3,246;0,402;0,049;0,575;-3,334;-0,94;-5,592;-0,277;-1,749;-2,482;-0,598;-0,26;-0,993;-11,039
01.01.2025 01:00;Rheinufergarage;7,406;-3,254;0,375;-0,115;0,535;-3,395;-0,826;-5,629;0,021;-1,735;-2,275;-0,701;-0,391;-1,054;-11,038
01.01.2025 02:00;Rheinufergarage;6,919;-3,272;0,354;-0,207;0,405;-3,534;-0,72;-5,775;-0,13;-1,733;-2,141;-0,43;-0,615;-1,134;-12,013
01.01.2025 03:00;Rheinufergarage;5,234;-3,288;0,336;-0,368;0,074;-3,743;-0,78;-5,813;-0,085;-1,733;-2,5;-0,47;-0,927;-1,319;-15,382
01.01.2025 04:00;Rheinufergarage;6,373;-3,294;0,385;-0,317;0,134;-3,556;-0,557;-5,758;0,139;-1,733;-2,218;-0,356;-1,1;-1,246;-13,104
01.01.2025 05:00;Rheinufergarage;10,591;-3,477;0,435;-0,43;0,182;-2,627;0,187;-5,305;1,141;-1,732;-1,571;0,111;-1,394;-0,779;-4,668
01.01.2025 06:00;Rheinufergarage;11,211;-3,639;0,495;-0,585;-0,305;-2,303;0,317;-5,369;0,848;-1,732;-0,694;0,392;-0,952;-1,112;-3,428
01.01.2025 07:00;Rheinufergarage;9,686;-2,03;-5,688;0,711;0,249;-3,005;-0,041;-6,026;0,923;-1,858;2,163;0,529;-1,29;-0,801;-6,478
01.01.2025 08:00;Rheinufergarage;8,208;-2,769;0,631;-0,031;-1,155;-1,866;0,4;-7,186;-2,631;-1,588;-0,363;-0,261;-1,78;0,956;-9,435
01.01.2025 09:00;Rheinufergarage;13,462;-3,841;0,369;-0,137;1,606;-1,949;2,295;-6,411;-0,73;-1,426;0,328;0,268;-1,263;-1,496;1,075
01.01.2025 10:00;Rheinufergarage;9,267;-3,601;-0,327;-1,038;1,33;-2,334;3,002;-7,189;-2,741;-1,462;-0,077;0,017;0,578;-2,742;-7,317
01.01.2025 11:00;Rheinufergarage;19,398;-3,489;-0,366;0,199;2,457;-0,922;3,006;-6,787;-2,328;-1,473;2,238;0,826;1,316;-1,131;12,944
01.01.2025 12:00;Rheinufergarage;15,906;-3,453;-0,493;-0,855;1,523;-0,99;1,944;-6,777;-2,512;-1,473;1,472;0,681;1,496;-0,508;5,961
01.01.2025 13:00;Rheinufergarage;17,702;-3,147;-0,396;-0,033;2,288;-1,469;1,648;-6,856;-2,35;-1,495;2,23;0,708;1,009;-0,284;9,555
