Datum;ParkhausName;Prediction;SHAP_Education;SHAP_Services and specialty retail;SHAP_Finance and insurance;SHAP_Leisure time;SHAP_Food services;SHAP_Health;SHAP_Grocery;SHAP_Religion;SHAP_Shopping;SHAP_Others;SHAP_Public sector;SHAP_Time;SHAP_Month;SHAP_Sum
01.01.2025 00:00;Roemisches Theater;10,531;-3,254;-0,344;-0,132;0,342;-2,912;0,765;-3,013;-1,152;-2,316;-1,842;-0,646;-0,256;-0,561;-4,79
01.01.2025 01:00;Roemisches Theater;10,531;-3,263;-0,373;-0,298;0,306;-2,933;0,857;-3,057;-0,978;-2,303;-1,258;-0,792;-0,418;-0,811;-4,79
01.01.2025 02:00;Roemisches Theater;10,392;-3,278;-0,391;-0,338;0,25;-3,027;0,901;-3,182;-1,131;-2,301;-1,059;-0,498;-0,549;-0,855;-5,066
01.01.2025 03:00;Roemisches Theater;7,737;-3,305;-0,487;-0,344;-0,084;-3,246;0,534;-3,337;-1,15;-2,301;-1,317;-0,662;-1,19;-1,225;-10,377
01.01.2025 04:00;Roemisches Theater;7,737;-3,35;-0,543;-0,367;-0,147;-3,623;0,396;-3,431;-1,247;-2,281;-1,242;-0,715;-1,031;-0,533;-10,377
01.01.2025 05:00;Roemisches Theater;-0,457;-3,359;-1,119;-0,242;-0,361;-3,674;-0,772;-4,267;-2,753;-2,316;-3,273;-1,768;-1,207;-1,196;-26,764
01.01.2025 06:00;Roemisches Theater;4,333;-3,341;-0,804;-0,366;0,248;-3,032;0,362;-3,829;-3,291;-2,322;-1,657;-1,019;-1,131;-1,338;-17,187
01.01.2025 07:00;Roemisches Theater;6,401;-1,737;-6,694;0,478;1,321;-3,78;0,684;-3,894;-2,899;-2,418;2,216;-0,726;-1,512;-0,491;-13,051
01.01.2025 08:00;Roemisches Theater;11,218;-2,884;0,651;-0,357;1,501;-1,082;1,541;-7,1;-3,316;-1,478;-0,252;-0,128;-0,915;-0,814;-3,415
01.01.2025 09:00;Roemisches Theater;7,513;-3,379;-0,184;0,689;0,63;-2,516;0,651;-7,717;-3,297;-1,43;0,04;-1,19;-0,084;-0,549;-10,823
01.01.2025 10:00;Roemisches Theater;8,456;-3,807;-0,147;1,072;0,252;3,007;0,97;-7,172;-4,01;-1,518;-3,855;-1,461;0,1;-0,826;-8,939
01.01.2025 11:00;Roemisches Theater;37,83;-3,271;3,47;0,491;2,413;17,707;1,794;-4,429;-2,325;-2,464;0,087;-1,468;0,003;-0,03;49,808
01.01.2025 12:00;Roemisches Theater;13,806;-2,174;-3,722;1,339;-0,464;8,512;1,388;-7,545;-1,179;-2,446;-3,919;-1,558;0,105;-0,381;1,762
01.01.2025 13:00;Roemisches Theater;11,911;-2,065;-3,561;0,966;-0,66;8,968;1,333;-7,514;-1,354;-2,447;-4,496;-1,612;-0,28;-1,216;-2,027
01.01.2025 14:00;Roemisches Theater;11,905;-2,07;-3,458;1,003;-0,827;9,339;1,248;-7,419;-1,444;-2,446;-4,537;-1,595;-0,504;-1,236;-2,041
01.01.2025 15:00;Roemisches Theater;12,464;-1,933;-2,882;1,714;0,306;9,08;1,078;-6,876;-1,213;-2,439;-5,774;-1,558;-1,441;-1,45;-0,924
01.01.2025 16:00;Roemisches Theater;12,386;-1,676;-3,85;1,976;0,58;8,833;1,084;-6,911;-1,104;-2,396;-5,55;-1,115;-1,681;-1,655;-1,079
01.01.2025 17:00;Roemisches Theater;12,386;-1,413;-3,436;1,792;0,723;7,872;1,014;-7,191;-0,929;-2,405;-4,165;-1,412;-2,507;-1,408;-1,079
01.01.2025 18:00;Roemisches Theater;14,72;-1,398;-2,071;1,523;1,357;7,769;0,718;-7,075;-1,989;-2,877;-2,834;-1,742;-1,364;-1,147;3,59
01.01.2025 19:00;Roemisches Theater;-4,058;-1,632;-2,125;-0,784;-1,295;6,597;-1,012;-7,505;-3,211;-2,454;-8,322;-1,253;-3,045;-3,868;-33,967
01.01.2025 20:00;Roemisches Theater;22,552;-1,579;-3,552;3,028;-2,638;14,251;-1,159;-1,563;-2,374;-3,329;2,158;-0,303;-2,759;-3,479;19,254
01.01.2025 21:00;Roemisches Theater;0,296;-4,294;2,037;-1,936;-1,668;12,482;-1,133;-2,02;-4,5;-3,06;-1,916;-10,681;-3,713;-5,153;-25,259
01.01.2025 22:00;Roemisches Theater;21,282;-4,347;1,862;-0,105;1,865;12,73;0,626;-1,14;-3,955;-2,216;2,959;-10,577;1,3;-3,57;16,714
01.01.2025 23:00;Roemisches Theater;9,945;-4,075;1,796;2,125;-0,282;4,476;-0,405;-0,988;-4,305;-2,259;0,831;-9,9;0,577;-3,498;-5,962
02.01.2025 00:00;Roemisches Theater;12,156;-2,955;-1,518;-0,66;0,622;-3,96;0,715;-3,144;-1,627;-2,211;0,509;1,026;-0,518;0,027;-1,538
