Datum;ParkhausName;Prediction;SHAP_Education;SHAP_Services and specialty retail;SHAP_Finance and insurance;SHAP_Leisure time;SHAP_Food services;SHAP_Health;SHAP_Grocery;SHAP_Religion;SHAP_Shopping;SHAP_Others;SHAP_Public sector;SHAP_Time;SHAP_Month;SHAP_Sum
01.01.2025 00:00;Schillerplatz;6,999;-3,045;-0,8;0,504;0,862;-4,705;-0,475;-3,382;-2,649;-2,303;-0,902;-0,967;0,279;-1,269;-11,853
01.01.2025 01:00;Schillerplatz;6,999;-3,055;-0,845;0,301;0,877;-4,675;-0,003;-3,414;-2,378;-2,288;-1,144;-0,951;-0,133;-1,146;-11,855
01.01.2025 02:00;Schillerplatz;6,999;-3,08;-0,865;0,174;0,768;-4,603;0,355;-3,533;-2,477;-2,287;-1,196;-0,728;-0,514;-0,866;-11,853
01.01.2025 03:00;Schillerplatz;4,241;-3,098;-0,905;0,063;0,445;-4,839;0,096;-3,626;-2,876;-2,286;-1,48;-0,872;-1,328;-0,905;-17,37
01.01.2025 04:00;Schillerplatz;4,241;-3,102;-0,915;0,029;0,466;-4,759;0,12;-3,643;-2,863;-2,283;-1,525;-0,827;-1,487;-0,822;-17,37
01.01.2025 05:00;Schillerplatz;5,432;-3,161;-0,927;0,138;-0,1;-4,54;0,63;-3,69;-1,977;-2,258;-1,458;-0,843;-1,323;-0,911;-14,988
01.01.2025 06:00;Schillerplatz;8,591;-3,122;-0,297;-0,115;-0,175;-2,427;0,561;-4,096;-2,801;-2,307;-1,069;-0,125;-1,339;0,053;-8,668
01.01.2025 07:00;Schillerplatz;4,231;-3,233;0,47;1,12;-0,23;1,17;0,283;-7,835;-3,885;-1,513;-3,839;-1,813;-2,311;-0,005;-17,39
01.01.2025 08:00;Schillerplatz;13,317;-2,996;0,582;0,874;0,726;3,095;1,115;-6,733;-1,588;-1,477;-2,093;-1,437;-2,047;-0,556;0,782
01.01.2025 09:00;Schillerplatz;30,173;-2,649;-0,584;3,411;-0,265;7,823;1,647;-6,055;3,969;-2,358;-1,782;-0,799;0,168;1,797;34,496
01.01.2025 10:00;Schillerplatz;48,245;-2,676;-2,97;1,812;1,017;11,29;3,112;-5,919;12,565;-2,386;0,301;-0,944;1,653;5,539;70,639
01.01.2025 11:00;Schillerplatz;31,906;-2,683;-4,54;0,269;-2,029;8,329;2,585;-6,895;7,67;-2,389;0,367;-1,177;1,252;5,297;37,962
01.01.2025 12:00;Schillerplatz;32,051;-2,813;-4,313;0,515;-1,545;8,65;2,524;-6,694;7,667;-2,384;-0,039;-0,729;1,788;3,57;38,248
01.01.2025 13:00;Schillerplatz;27,752;-2,565;-4,613;0,484;-2,443;7,905;2,15;-6,744;7,615;-2,385;-1,015;-0,739;0,632;3,622;29,656
01.01.2025 14:00;Schillerplatz;31,922;-2,52;-3,988;0,593;-2,074;8,927;2,52;-6,671;7,705;-2,385;0,06;-0,729;1,464;3,169;37,993
01.01.2025 15:00;Schillerplatz;23,203;-2,214;-5,104;1,297;-1,704;7,806;2,169;-7,108;6,945;-2,354;-2,014;-0,628;-2,079;2,339;20,554
01.01.2025 16:00;Schillerplatz;19,801;-2,19;-5,269;1,694;-2,409;7,477;1,942;-7,173;5,912;-2,335;-2,368;-0,674;-3,203;2,547;13,752
01.01.2025 17:00;Schillerplatz;20,504;-1,879;-4,178;1,64;-2,636;7,304;2,015;-7,257;7,387;-2,339;-2,351;-0,511;-4,773;2,231;15,157
01.01.2025 18:00;Schillerplatz;10,898;-2,293;1,821;0,624;-3,083;6,445;0,743;-7,301;-0,527;-2,373;-2,6;-0,53;-4,161;-1,718;-4,055
01.01.2025 19:00;Schillerplatz;26,657;-1,979;2,715;1,72;-0,552;9,364;0,671;-6,633;2,957;-2,403;-3,511;-0,453;-1,729;0,638;27,462
01.01.2025 20:00;Schillerplatz;25,286;-2,49;2,357;1,529;-1,524;9,964;1,01;-6,685;2,509;-2,405;-4,201;-0,365;-0,507;0,244;24,722
01.01.2025 21:00;Schillerplatz;26,701;-2,614;3,155;1,494;-0,006;9,604;1,363;-6,633;0,543;-2,448;-4,109;-1,012;0,856;0,66;27,554
01.01.2025 22:00;Schillerplatz;20,186;-2,458;2,412;1,33;-2,372;8,869;0,18;-6,525;1,321;-2,431;-3,086;-1,115;-1,467;-0,324;14,52
01.01.2025 23:00;Schillerplatz;20,938;-0,851;-5,283;3,548;-0,094;13,913;0,45;-3,727;-2,653;-3,266;-1,327;-1,262;-5,258;0,896;16,024
