Datum;ParkhausName;Prediction;SHAP_Education;SHAP_Services and specialty retail;SHAP_Finance and insurance;SHAP_Leisure time;SHAP_Food services;SHAP_Health;SHAP_Grocery;SHAP_Religion;SHAP_Shopping;SHAP_Others;SHAP_Public sector;SHAP_Time;SHAP_Month;SHAP_Sum
01.01.2025 00:00;Taubertsberg;22,406;-3,146;1,025;0,394;2,224;-2,01;0,75;-4,331;1,899;-1,748;-0,128;0,734;0,158;0,736;18,963
01.01.2025 01:00;Taubertsberg;20,911;-3,157;0,909;0,096;2,184;-2,157;1,043;-4,462;1,962;-1,735;-0,391;0,611;-0,449;0,605;15,97
01.01.2025 02:00;Taubertsberg;20,911;-3,169;0,893;0,072;2,13;-2,268;1,371;-4,569;2,04;-1,733;-0,336;0,862;-0,709;0,475;15,97
01.01.2025 03:00;Taubertsberg;18,73;-3,187;0,852;-0,117;1,725;-2,433;1,282;-4,702;2,192;-1,733;-0,673;0,725;-1,148;0,096;11,609
01.01.2025 04:00;Taubertsberg;19,669;-3,194;0,891;-0,169;1,885;-2,148;1,602;-4,657;2,318;-1,733;-0,483;0,802;-1,28;-0,015;13,488
01.01.2025 05:00;Taubertsberg;5,809;-3,557;-0,71;-0,155;-0,368;-2,651;1,037;-3,619;-3,133;-2,308;-2,544;-0,928;-0,837;-0,268;-14,232
01.01.2025 06:00;Taubertsberg;8,11;-2,125;-6,643;0,604;0,218;-2,812;1,013;-4,032;-2,275;-2,384;0,415;-0,071;-0,46;0,811;-9,631
01.01.2025 07:00;Taubertsberg;10,747;-3,006;0,762;-0,258;-0,383;-1,674;0,754;-6,285;-2,499;-1,532;-0,738;0,16;-1,731;1,326;-4,357
01.01.2025 08:00;Taubertsberg;14,54;-2,951;0,616;-0,579;-1,124;-0,993;1,336;-6,095;-2,99;-1,392;0,777;1,206;-1,042;1,918;3,227
01.01.2025 09:00;Taubertsberg;14,922;-3,12;0,314;-0,717;-0,356;-0,816;2,158;-7,046;-2,971;-1,433;0,615;0,782;0,086;1,575;3,993
01.01.2025 10:00;Taubertsberg;12,16;-3,193;0,209;-0,215;-0,981;-1,147;2,032;-7,86;-3,53;-1,569;3,672;0,456;-0,619;-0,947;-1,532
01.01.2025 11:00;Taubertsberg;9,367;-3,215;0,138;-0,691;-1,657;-1,517;1,053;-7,596;-3,507;-1,637;3,217;0,509;-0,769;-0,811;-7,116
01.01.2025 12:00;Taubertsberg;7,242;-3,414;0,289;0,616;-0,609;1,666;1,083;-7,565;-3,482;-2,924;-2,214;-1,591;0,06;-0,523;-11,366
01.01.2025 13:00;Taubertsberg;6,696;-3,024;0,062;0,019;-0,554;1,741;1,112;-7,903;-3,633;-2,934;-1,815;-1,395;0,479;-1,309;-12,458
01.01.2025 14:00;Taubertsberg;8,499;-3,018;0,294;0,035;-0,141;1,341;1,074;-7,628;-3,229;-2,731;-1,71;-1,349;0,744;-1,033;-8,852
01.01.2025 15:00;Taubertsberg;6,159;-3,117;0,515;0,827;1,327;-0,727;0,745;-6,868;-3,429;-2,691;-3,078;-1,263;-0,608;-1,324;-13,532
01.01.2025 16:00;Taubertsberg;7,92;-2,618;1,136;1,125;1,891;-0,351;0,545;-6,716;-3,232;-2,475;-3,265;-1,19;-1,557;-1,223;-10,01
01.01.2025 17:00;Taubertsberg;5,798;-2,639;1,044;0,676;1,863;-0,563;0,424;-7,23;-3,341;-2,507;-3,679;-1,267;-0,982;-1,852;-14,255
01.01.2025 18:00;Taubertsberg;5,624;-2,479;1,216;0,036;2,159;-0,509;0,309;-7,489;-3,474;-2,697;-3,993;-1,036;-0,999;-1,272;-14,604
